iter	Passed	Remaining
0	61	61344
1	127	63793
2	182	60722
3	242	60399
4	293	58460
5	345	57237
6	394	55904
7	452	56120
8	514	56654
9	568	56297
10	635	57157
11	657	54093
12	679	51594
13	735	51768
14	792	52034
15	849	52245
16	893	51652
17	928	50637
18	962	49688
19	987	48391
20	1047	48821
21	1088	48405
22	1120	47587
23	1167	47468
24	1207	47106
25	1235	46272
26	1276	46004
27	1297	45030
28	1339	44854
29	1380	44629
30	1408	44042
31	1423	43063
32	1456	42673
33	1472	41830
34	1507	41553
35	1521	40755
36	1549	40339
37	1591	40282
38	1625	40059
39	1652	39658
40	1678	39260
41	1701	38814
42	1717	38228
43	1759	38227
44	1799	38193
45	1837	38116
46	1875	38038
47	1914	37972
48	1935	37564
49	1974	37506
50	2006	37335
51	2043	37249
52	2069	36982
53	2109	36961
54	2147	36894
55	2186	36856
56	2205	36495
57	2241	36411
58	2255	35967
59	2292	35909
60	2329	35866
61	2349	35540
62	2385	35485
63	2424	35458
64	2455	35325
65	2470	34957
66	2510	34955
67	2541	34834
68	2569	34668
69	2597	34513
70	2631	34428
71	2644	34086
72	2680	34041
73	2718	34014
74	2755	33987
75	2792	33954
76	2831	33941
77	2869	33924
78	2896	33772
79	2933	33736
80	2971	33717
81	3011	33719
82	3048	33678
83	3079	33577
84	3115	33542
85	3134	33311
86	3166	33231
87	3204	33212
88	3242	33194
89	3270	33064
90	3312	33086
91	3349	33059
92	3387	33033
93	3425	33014
94	3463	32994
95	3508	33038
96	3529	32857
97	3567	32835
98	3604	32803
99	3629	32668
100	3669	32659
101	3712	32687
102	3751	32675
103	3792	32671
104	3831	32657
105	3869	32636
106	3903	32578
107	3931	32474
108	3972	32473
109	4010	32450
110	4046	32406
111	4071	32278
112	4107	32242
113	4144	32211
114	4183	32194
115	4221	32168
116	4257	32132
117	4294	32096
118	4328	32042
119	4368	32035
120	4401	31976
121	4429	31876
122	4444	31688
123	4486	31697
124	4520	31646
125	4560	31632
126	4603	31645
127	4644	31642
128	4686	31639
129	4726	31631
130	4742	31457
131	4778	31419
132	4815	31389
133	4851	31355
134	4889	31331
135	4920	31262
136	4957	31230
137	4996	31208
138	5015	31067
139	5051	31029
140	5087	30996
141	5124	30961
142	5162	30936
143	5175	30763
144	5183	30562
145	5222	30550
146	5268	30571
147	5324	30650
148	5377	30713
149	5434	30795
150	5452	30657
151	5510	30741
152	5564	30804
